Student,Carlos,Mendoza,123,Eastern ave,Los Angeles,CA,90249,Cmendo77@calstatela.edu,Sophomore
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Student,Daniel,Ramirez,166,plain ave,Gardenia,MA,25467,default@calstatela.edu,Freshman
Phone,Work,818-876-6543
Student,Rafael,Mendoza,166,plain ave,Gardenia,MA,25467,Rmendo007@calstatela.edu,Senior
Phone,Work,818-876-6543
Student,Gonzo,Gonzalez,123,Eastern ave,Los Angeles,CA,90249,Ggonzo@calstatela.edu,Junior
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Student,Alexis,cerventes,117,Apt. 13,Hollywood,Los Angeles,CA,90325,Clexix@calstatela.edu,Graduate
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Student,Enri-k,ruiz,123,Eastern ave,Los Angeles,CA,90249,Eruiz@calstatela.edu,Graduate
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Student,Daniel,Ramirez,166,plain ave,Gardenia,MA,25467,default@calstatela.edu,Freshman
Phone,Work,818-876-6543
Student,Brandon,Arava,117,Apt. 13,Hollywood,Los Angeles,CA,90325,Barava@calstatela.edu,Senior
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Student,keith,Quilario,117,Apt. 13,Hollywood,Los Angeles,CA,90325,Kquila@calstatela.edu,Junior
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Student,Alfonso,Lonso,117,Apt. 13,Hollywood,Los Angeles,CA,90325,Kquila@calstatela.edu,Junior
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Faculty,Robert,Waldo,117,Apt. 13,Hollywood,Los Angeles,CA,90325,rWaldo@calstatela.edu,E&T-310,40000,M/W 1-2 T/TH 3-4,Full Time
Phone,Work,818-876-6543
Faculty,dave,batista,117,Apt. 5,Hollywood,Los Angeles,CA,90325,DBauatista@calstatela.edu,E&T-310,5000,M/W 12-1 T/TH 4-5,Full Time
Phone,Work,818-876-6543
Faculty,keenan,knaur,166,plain ave,Gardenia,MA,25467,knar@caltstatela.edu,E&T A-310,100000,Tuesday: 10am - 1:30pm,Full Time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Faculty,john,hurley,123,Eastern ave,Los Angeles,CA,90249,Jhurly@caltstatela.edu,E&T A-310,75000,Monday: 10am - 1:30pm,full time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Faculty,John,smith,123,Eastern ave,Los Angeles,CA,90249,Jsmith@calstatela.edu,King hall 1130A,50000,Wednesday: 10am - 1:30pm,part time
Phone,Work,818-876-6543
Faculty,valerie,mendez,310,Apt. 13,Hollywood,Los Angeles,CA,90325,Vmendez@calstatela.edu,Salazar hall 365A,65000,Tuesday & Thursday: 10am - 1:30pm,full time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Faculty,ana,veranda,123,Eastern ave,Los Angeles,CA,90249, Aver@calstatela.edu,Physical Science 39B,45000,Friday: 1pm - 1:30pm,part time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Faculty,Ace,tracer,166,plain ave,Gardenia,MA,25467, Atacer@calstatela.edu,Library Palmer wing,51000,Tuesday: 10am - 1:30pm,part time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Faculty,lenora,over,166,plain ave,Gardenia,MA,25467,Lover@calstatela.edu,E&T A-110,35000,Monday & Wednesday: 10am - 1:30pm,full time
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Faculty,jessica,Fernandez,123,Eastern ave,Los Angeles,CA,90249,Jfern@calstatela.edu,king hall 3130B,54000,Tuesday: 10am - 1:30pm,part time
Phone,Cell,310-876-7975
Phone,Home,310-387-7975
Staff,bob,the builder,123,Eastern ave,Los Angeles,CA,90249,Bder@calstatela.edu,King hall b350, 32000,Architect
Phone,Work,818-876-6543
Staff,Dora,the explorer,166,plain ave,Gardenia,MA,25467,Dora55@calstatela.edu,Salazar hall B213, 43000,Head librarian
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Staff,trevor,vero,166,plain ave,Gardenia,MA,25467,vero43@calstatela.edu,E&T A210, 12000,IT manager
Phone,Cell,310-876-7975
Phone,Home,310-387-7975
Staff,brianna, light,310,Apt. 13,Hollywood,Los Angeles,CA,90325,Light55@calstatela.edu,Biology 245, 11000,teachers assistance
Phone,Work,818-876-6543
Staff,omen, HP,123,Eastern ave,Los Angeles,CA,90249,omen34@calstatela.edu,king hall C3200, 58000,Head technician
Phone,Work,818-876-6543
Staff,mario, bro,310,Apt. 13,Hollywood,Los Angeles,CA,90325,Mario97@calstatela.edu,Salazar Hall C135,23000,Head Janitor
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Staff,Luigi, bro,166,plain ave,Gardenia,MA,25467,Luigi97@calstatela.edu,Salazar Hall C135, 10000,assistance janitor
Phone,Cell,310-876-7975
Phone,Home,310-387-7975
Staff,Browser, dino,166,plain ave,Gardenia,MA,25467,dino@calstatela.edu,Salazar Hall B135, 51000,Coordinator
Phone,Cell,310-876-7975
Phone,Home,310-387-7975
Staff,mark,rubio,310,Apt. 13,Hollywood,Los Angeles,CA,90325,Mrubio@calstatela.edu,E&T 440, 23000,Desk manager
Phone,Cell,310-876-7975
Phone,Cell,310-387-7975
Phone,Work,818-876-6543
Staff,leanardo,decaprio,123,Eastern ave,Los Angeles,CA,90249,Lcaprio@calstatela.edu,E&T 550, 97000,Film producer
Phone,Cell,310-876-7975
Phone,Home,310-387-7975
